iter	Logloss
0	0.5004835205
1	0.3342541504
2	0.2236248169
3	0.150577179
4	0.1073166351
5	0.0757791214
6	0.05898344803
7	0.0458768425
8	0.03479613495
9	0.02886873627
10	0.02485662651
11	0.02102355194
12	0.01712299538
13	0.01482902718
14	0.01336275101
15	0.01244939995
16	0.01193610764
17	0.01127486038
18	0.01077266598
19	0.01039656448
20	0.009208374023
21	0.008926399231
22	0.008138491631
23	0.007921116829
24	0.00711198616
25	0.00678396368
26	0.006128961563
27	0.006002025604
28	0.005786821365
29	0.005684415817
30	0.005592717171
31	0.005344838142
32	0.005214713573
33	0.005114920616
34	0.004765140057
35	0.004319481373
36	0.004227749825
37	0.004187486649
38	0.003891892433
39	0.003843240261
40	0.003754513264
41	0.003665448189
42	0.003640322924
43	0.003304952621
44	0.003165822268
45	0.002969740868
46	0.002875008106
47	0.00284281826
48	0.002823340893
49	0.002797588348
50	0.002678798914
51	0.002629994392
52	0.002572490454
53	0.002467734098
54	0.00238402462
55	0.00236409688
56	0.002271755695
57	0.002255344391
58	0.002236224651
59	0.002108551502
60	0.002093952656
61	0.002022634983
62	0.001947203994
63	0.001868818283
64	0.001807654858
65	0.001732528687
66	0.001721413851
67	0.001701935768
68	0.001689412355
69	0.001641551614
70	0.001597106695
71	0.001561413288
72	0.001519982815
73	0.001485249877
74	0.001452927589
75	0.001423773885
76	0.001391774535
77	0.001357293129
78	0.001330405593
79	0.001304965138
80	0.001279286861
81	0.001254822016
82	0.001222008586
83	0.001197142243
84	0.001174646139
85	0.001144150615
86	0.001118284225
87	0.001100037575
88	0.001080564737
89	0.001062547684
90	0.001042975187
91	0.001025327563
92	0.001009526491
93	0.0009919434786
94	0.0009772484303
95	0.0009621869326
96	0.0009484213591
97	0.0009332322478
98	0.000918042779
99	0.0009047349095
100	0.0008927915096
101	0.0008798325062
102	0.0008684111834
103	0.0008575443029
104	0.0008468274474
105	0.0008421947956
106	0.0008319197893
107	0.0008217641711
108	0.0008104948401
109	0.0008010219336
110	0.0007908577323
111	0.0007869660854
112	0.0007830259204
113	0.000774238646
114	0.0007657484412
115	0.000762047112
116	0.0007538583279
117	0.0007457812428
118	0.0007423275709
119	0.0007391030192
120	0.0007308142781
121	0.0007231037617
122	0.0007202279568
123	0.0007128243446
